seed,c_mode,r_mode,method_name,display_name,total,admitted,blocked,blocking_rate,server_overload,overload_rate,no_suitable_block,nsb_rate,other_failure,other_rate,avg_delay_ms,delay_p95_ms,avg_fs,avg_decision_ms,decision_p95_ms,avg_path_length_km,avg_hop_count,ppo_r_agreement,fallback_rate,ranker_top1_in_candidates_rate
5016,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5647,353,0.058833333333333335,353,0.058833333333333335,0,0.0,0,0.0,9.448718378801098,16.29659372154208,3.160616256419338,21.328068812731846,27.642760098387953,862.6282982114398,1.877988312378254,0.08716666666666667,0.058833333333333335,0.9411666666666667
5017,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5665,335,0.05583333333333333,335,0.05583333333333333,0,0.0,0,0.0,9.587762076785456,17.441120957345003,3.1676963812886143,21.40854601897202,27.741718989273068,881.7729920564872,1.884730803177405,0.08016666666666666,0.05583333333333333,0.9441666666666667
5018,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5709,291,0.0485,291,0.0485,0,0.0,0,0.0,9.269705044133135,16.258127322009013,3.140655105973025,21.518639044491767,27.52762329764665,854.8681029952706,1.8670520231213872,0.07283333333333333,0.0485,0.9515
5019,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5696,304,0.050666666666666665,304,0.050666666666666665,0,0.0,0,0.0,9.541417915241311,16.533187146314766,3.177668539325843,21.34931265594302,27.617383952019736,863.5653089887641,1.8918539325842696,0.0765,0.050666666666666665,0.9493333333333334
5020,df_c,strict_v13,df_c+strict_v13,DF_C + Strict v1.3,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,9.441058684164119,16.5569500307518,3.149378330373002,21.250505483636516,27.431482795509513,858.2184724689165,1.8563055062166962,0.08733333333333333,0.06166666666666667,0.9383333333333334
5001,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5651,349,0.058166666666666665,349,0.058166666666666665,0,0.0,0,0.0,9.588895393610832,16.691604117500546,3.0350380463634754,18.507363705677562,27.98246820748318,827.4241727127942,1.994337285436206,0.08883333333333333,0.058166666666666665,0.9418333333333333
5002,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5589,411,0.0685,411,0.0685,0,0.0,0,0.0,9.656034394857643,16.98398706482735,3.037394882805511,18.303493825156085,28.145013055473104,834.7418142780461,1.986401860797996,0.09783333333333333,0.0685,0.9315
5003,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5624,376,0.06266666666666666,376,0.06266666666666666,0,0.0,0,0.0,9.525127004569963,16.967821873048074,3.00124466571835,18.381142452247634,28.16322501021205,819.5067567567568,1.9864864864864864,0.08666666666666667,0.06266666666666666,0.9373333333333334
5004,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5662,338,0.05633333333333333,338,0.05633333333333333,0,0.0,0,0.0,9.573628933666225,16.920625946755255,3.0192511480042388,18.43125931810937,28.112699840858113,831.0561638996821,1.9890498057223596,0.08283333333333333,0.05633333333333333,0.9436666666666667
5005,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5616,384,0.064,384,0.064,0,0.0,0,0.0,9.836948521882771,17.208213082736066,3.0860042735042734,19.211175699723146,30.025424108316656,847.883547008547,2.0197649572649574,0.0925,0.064,0.936
5006,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5439,561,0.0935,561,0.0935,0,0.0,0,0.0,10.049863098792402,17.682941971983993,3.0687626401912116,19.292819519527256,30.612231885606892,848.1051663908806,2.0373230373230373,0.11483333333333333,0.0935,0.9065
5007,ppo_c,old_v13,ppo_c+old_v13,PPO-C + Legacy E1-trained gated baseline,6000,5569,431,0.07183333333333333,431,0.07183333333333333,0,0.0,0,0.0,9.768408172924657,17.182900284778746,3.0560244209014185,19.701384839063394,30.919264198746536,824.1134853654157,1.988866942000359,0.09433333333333334,0.07183333333333333,0.9281666666666667
