topology,seed,arm,k_paths,blocked,blocking,selector_mean_ms,selector_p50_ms,selector_p95_ms,selector_p99_ms,end_to_end_ms,route_init_s,selector_init_s,env_init_s,ksp_ff_backend,shadow_row_backend,legal_start_backend
xlron_usnet_gcnrmsa,23004,ksp_ff_k50,50,835,0.0835,0.020642488602210175,0.010891002602875233,0.06517456495203076,0.10198527597822254,0.03426154021343047,1.6206018590601161,0.07356016093399376,0.051080336910672486,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23004,ksp_bf_k50,50,821,0.0821,0.03578253935980187,0.005851034075021744,0.2581340202596038,0.33217518124729406,0.04873378437266431,1.6492879290599376,1.9139843061566353e-06,0.033020087983459234,,,
xlron_usnet_gcnrmsa,23004,full_direct,50,745,0.0745,0.34117865072436293,0.3228579880669713,0.6044443871360272,0.8640562335494907,0.36125723672607407,1.585235595004633,0.5113563860068098,0.032330436049960554,,python,python
xlron_usnet_gcnrmsa,23004,opp_only,50,723,0.0723,0.11679959640076214,0.10161247337237,0.19206514116376636,0.28005931410007184,0.13324966670056296,1.5829769369447604,0.19893435097765177,0.030673890956677496,,,python
xlron_usnet_gcnrmsa,23005,ksp_ff_k5,5,1141,0.1141,0.011563615132631226,0.009658979251980782,0.01832555280998347,0.04299130872823299,0.022556623782623898,0.1030775560066104,0.008075763937085867,0.03019258799031377,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23005,ksp_ff_k50,50,919,0.0919,0.01931740127673203,0.010669929906725883,0.06416245596483348,0.09920849814079703,0.0317530495389788,1.641192622948438,0.08841131604276597,0.04184013302437961,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23005,ksp_bf_k50,50,847,0.0847,0.03813359660985456,0.006006506737321615,0.25975796743296076,0.3945621103048325,0.051836657486009324,1.587760229012929,1.3320241123437881e-06,0.03295140597037971,,,
xlron_usnet_gcnrmsa,23005,full_direct,50,806,0.0806,0.3295545340833169,0.3096879809163511,0.5648338934406638,0.7895299955271193,0.3491775487253273,1.60152033099439,0.4942304480355233,0.03253196703735739,,python,python
xlron_usnet_gcnrmsa,23005,opp_only,50,792,0.0792,0.1191659879087555,0.10223948629572988,0.2074811083730309,0.3088176902383568,0.13585978870237755,1.5698574690613896,0.22811881604138762,0.03646577300969511,,,python
xlron_usnet_gcnrmsa,23006,ksp_ff_k5,5,1108,0.1108,0.011961308646608482,0.009739072993397713,0.01881559146568178,0.04655001568607988,0.023144773154688828,0.10016981500666589,0.007248458918184042,0.03207592898979783,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23006,ksp_ff_k50,50,767,0.0767,0.017996285946785723,0.010349031072109938,0.06330101750791071,0.08921319153159864,0.03019235907545821,1.5705781059805304,0.07396784401498735,0.0380145909730345,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23006,ksp_bf_k50,50,792,0.0792,0.03438436722552234,0.0055854907259345055,0.2527650212869047,0.31107145361602306,0.04742949520534074,1.5533352930797264,1.4130491763353348e-06,0.0517505930038169,,,
xlron_usnet_gcnrmsa,23006,full_direct,50,674,0.0674,0.3409466830039905,0.32108952291309834,0.5934576911386096,0.8331834222190085,0.3611973950067874,1.5712886670371518,0.4691094639711082,0.03120649210177362,,python,python
xlron_usnet_gcnrmsa,23006,opp_only,50,701,0.0701,0.1188372556564652,0.10146800195798278,0.200533983297646,0.30599863152019785,0.13544366276949982,1.5761626180028543,0.2149075330235064,0.03237394499592483,,,python
xlron_usnet_gcnrmsa,23007,ksp_ff_k5,5,1163,0.1163,0.011510094701820477,0.009638024494051933,0.018927099881693707,0.04523716750554743,0.02252181516748599,0.10258333792444319,0.008016807027161121,0.031418811064213514,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23007,ksp_ff_k50,50,924,0.0924,0.018912247466770084,0.01055002212524414,0.06380256963893768,0.09601242374628784,0.031107553132725032,1.5394465100253,0.06947246997151524,0.030107715050689876,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23007,ksp_bf_k50,50,909,0.0909,0.037995375036685305,0.0058710575103759766,0.259743956848979,0.3847380576189609,0.051307977928610686,1.5769772799685597,1.5730038285255432e-06,0.034213313017971814,,,
xlron_usnet_gcnrmsa,23007,full_direct,50,836,0.0836,0.34445263785098423,0.32347446540370584,0.6149604974780231,0.9004354407079521,0.36502506977624516,1.66206046694424,0.4928986720042303,0.04394975502509624,,python,python
